Section_name,original_text,proposed_revision,justification,edit_type,diff_output
"Page 11, Survey Report (Section 3)",Heating/cooling for each apartment is provided by an air cooled modular multi-zone three/two pipe variable refrigerant volume (VRV) heating/comfort cooling system manufactured by Daikin. ... Each apartment is equipped with a bulkhead ducted ceiling horizontal chassis type VRV heating/cooling fan coil unit (FCU) heat pump.,The primary mechanical systems listed in the fact sheet (LTHW Radiators; 4-Pipe FCUs; VAV; Chilled Beam; Chilled Ceiling) do not align with the system described in the report (two/three-pipe VRV FCUs). This discrepancy must be investigated and the report updated to reflect the actual installed systems.,Flags a major technical discrepancy between the observed systems (VRV) and the systems listed in the project fact sheet. This must be resolved for the report to be accurate.,"Technical Accuracy, Internal Consistency",<span style='text-decoration:line-through;color:red'>Heating/cooling</span> <span style='text-decoration:line-through;color:red'>for</span> <span style='text-decoration:line-through;color:red'>each</span> <span style='text-decoration:line-through;color:red'>apartment</span> <span style='text-decoration:line-through;color:red'>is</span> <span style='text-decoration:line-through;color:red'>provided</span> <span style='text-decoration:line-through;color:red'>by</span> <span style='text-decoration:line-through;color:red'>an</span> <span style='text-decoration:line-through;color:red'>air</span> <span style='text-decoration:line-through;color:red'>cooled</span> <span style='text-decoration:line-through;color:red'>modular</span> <span style='text-decoration:line-through;color:red'>multi-zone</span> <span style='text-decoration:line-through;color:red'>three/two</span> <span style='text-decoration:line-through;color:red'>pipe</span> <span style='text-decoration:line-through;color:red'>variable</span> <span style='text-decoration:line-through;color:red'>refrigerant</span> <span style='text-decoration:line-through;color:red'>volume</span> <span style='text-decoration:line-through;color:red'>(VRV)</span> <span style='text-decoration:line-through;color:red'>heating/comfort</span> <span style='text-decoration:line-through;color:red'>cooling</span> <span style='color:green;font-weight:bold'>The</span> <span style='color:green;font-weight:bold'>primary</span> <span style='color:green;font-weight:bold'>mechanical</span> <span style='color:green;font-weight:bold'>systems</span> <span style='color:green;font-weight:bold'>listed</span> <span style='color:green;font-weight:bold'>in</span> <span style='color:green;font-weight:bold'>the</span> <span style='color:green;font-weight:bold'>fact</span> <span style='color:green;font-weight:bold'>sheet</span> <span style='color:green;font-weight:bold'>(LTHW</span> <span style='color:green;font-weight:bold'>Radiators;</span> <span style='color:green;font-weight:bold'>4-Pipe</span> <span style='color:green;font-weight:bold'>FCUs;</span> <span style='color:green;font-weight:bold'>VAV;</span> <span style='color:green;font-weight:bold'>Chilled</span> <span style='color:green;font-weight:bold'>Beam;</span> <span style='color:green;font-weight:bold'>Chilled</span> <span style='color:green;font-weight:bold'>Ceiling)</span> <span style='color:green;font-weight:bold'>do</span> <span style='color:green;font-weight:bold'>not</span> <span style='color:green;font-weight:bold'>align</span> <span style='color:green;font-weight:bold'>with</span> <span style='color:green;font-weight:bold'>the</span> system <span style='text-decoration:line-through;color:red'>manufactured</span> <span style='text-decoration:line-through;color:red'>by</span> <span style='text-decoration:line-through;color:red'>Daikin.</span> <span style='text-decoration:line-through;color:red'>...</span> <span style='text-decoration:line-through;color:red'>Each</span> <span style='text-decoration:line-through;color:red'>apartment</span> <span style='text-decoration:line-through;color:red'>is</span> <span style='text-decoration:line-through;color:red'>equipped</span> <span style='text-decoration:line-through;color:red'>with</span> <span style='text-decoration:line-through;color:red'>a</span> <span style='text-decoration:line-through;color:red'>bulkhead</span> <span style='text-decoration:line-through;color:red'>ducted</span> <span style='text-decoration:line-through;color:red'>ceiling</span> <span style='text-decoration:line-through;color:red'>horizontal</span> <span style='text-decoration:line-through;color:red'>chassis</span> <span style='text-decoration:line-through;color:red'>type</span> <span style='color:green;font-weight:bold'>described</span> <span style='color:green;font-weight:bold'>in</span> <span style='color:green;font-weight:bold'>the</span> <span style='color:green;font-weight:bold'>report</span> <span style='color:green;font-weight:bold'>(two/three-pipe</span> VRV <span style='text-decoration:line-through;color:red'>heating/cooling</span> <span style='text-decoration:line-through;color:red'>fan</span> <span style='text-decoration:line-through;color:red'>coil</span> <span style='text-decoration:line-through;color:red'>unit</span> <span style='text-decoration:line-through;color:red'>(FCU)</span> <span style='text-decoration:line-through;color:red'>heat</span> <span style='text-decoration:line-through;color:red'>pump.</span> <span style='color:green;font-weight:bold'>FCUs).</span> <span style='color:green;font-weight:bold'>This</span> <span style='color:green;font-weight:bold'>discrepancy</span> <span style='color:green;font-weight:bold'>must</span> <span style='color:green;font-weight:bold'>be</span> <span style='color:green;font-weight:bold'>investigated</span> <span style='color:green;font-weight:bold'>and</span> <span style='color:green;font-weight:bold'>the</span> <span style='color:green;font-weight:bold'>report</span> <span style='color:green;font-weight:bold'>updated</span> <span style='color:green;font-weight:bold'>to</span> <span style='color:green;font-weight:bold'>reflect</span> <span style='color:green;font-weight:bold'>the</span> <span style='color:green;font-weight:bold'>actual</span> <span style='color:green;font-weight:bold'>installed</span> <span style='color:green;font-weight:bold'>systems.</span>
"Page 11, Survey Report (Section 3)",Heating/cooling for each apartment is provided by an air cooled modular multi-zone three/two pipe variable refrigerant volume (VRV) heating/comfort cooling system manufactured by Daikin. The installation operates with refrigerant gas R410a. The installation consists of multiple external roof mounted condensing units connected via refrigerant pipework to serve the indoor fan coil units. The condensing units are zoned to serve each floor and sub divided into two operating zones.,Heating/cooling for each apartment is provided by an air-cooled modular multi-zone three/two-pipe variable refrigerant volume (VRV) heating/comfort cooling system manufactured by Daikin. The installation operates with refrigerant gas R410a and consists of multiple external roof-mounted condensing units connected via refrigerant pipework to serve the indoor fan coil units. The condensing units are zoned to serve each floor and sub-divided into two operating zones.,"Hyphenates multiple compound adjectives ('air-cooled', 'three/two-pipe', 'roof-mounted') and 'sub-divided' for grammatical correctness and clarity.",Grammar,Heating/cooling for each apartment is provided by an <span style='text-decoration:line-through;color:red'>air</span> <span style='text-decoration:line-through;color:red'>cooled</span> <span style='color:green;font-weight:bold'>air-cooled</span> modular multi-zone <span style='text-decoration:line-through;color:red'>three/two</span> <span style='text-decoration:line-through;color:red'>pipe</span> <span style='color:green;font-weight:bold'>three/two-pipe</span> variable refrigerant volume (VRV) heating/comfort cooling system manufactured by Daikin. The installation operates with refrigerant gas <span style='text-decoration:line-through;color:red'>R410a.</span> <span style='text-decoration:line-through;color:red'>The</span> <span style='text-decoration:line-through;color:red'>installation</span> <span style='color:green;font-weight:bold'>R410a</span> <span style='color:green;font-weight:bold'>and</span> consists of multiple external <span style='text-decoration:line-through;color:red'>roof</span> <span style='text-decoration:line-through;color:red'>mounted</span> <span style='color:green;font-weight:bold'>roof-mounted</span> condensing units connected via refrigerant pipework to serve the indoor fan coil units. The condensing units are zoned to serve each floor and <span style='text-decoration:line-through;color:red'>sub</span> <span style='text-decoration:line-through;color:red'>divided</span> <span style='color:green;font-weight:bold'>sub-divided</span> into two operating zones.
"Page 11, Survey Report (Section 3)",Air conditioning within each apartment is affected from a combination of local VRV fan coil units and a central primary air ventilation system.,Air conditioning within each apartment is provided by a combination of local VRV fan coil units and a central primary air ventilation system.,"Corrects the phrasing from 'affected from' to 'provided by'. 'Affected' implies influence or a negative impact, while 'provided by' correctly states the function of the system.","Technical Accuracy, Clarity",Air conditioning within each apartment is <span style='text-decoration:line-through;color:red'>affected</span> <span style='text-decoration:line-through;color:red'>from</span> <span style='color:green;font-weight:bold'>provided</span> <span style='color:green;font-weight:bold'>by</span> a combination of local VRV fan coil units and a central primary air ventilation system.
"Page 11, Survey Report (Section 3)",Conditioned air is delivered from each FCU via a discharge plenum to galvanised ductwork to serve sidewall supply linear slot diffusers.,Conditioned air is delivered from each FCU via a discharge plenum to galvanised ductwork to serve sidewall-supply linear slot diffusers.,Hyphenates 'sidewall-supply' as a compound adjective for grammatical correctness.,Grammar,Conditioned air is delivered from each FCU via a discharge plenum to galvanised ductwork to serve <span style='text-decoration:line-through;color:red'>sidewall</span> <span style='text-decoration:line-through;color:red'>supply</span> <span style='color:green;font-weight:bold'>sidewall-supply</span> linear slot diffusers.
"Page 11, Survey Report (Section 3)","Each unit is complete with air filter, direct expansion heating/cooling coil and variable speed air circulation fan. Condensate discharge from the drip trays is released into a common condensate drainage system.","Each unit is complete with an air filter, direct expansion heating/cooling coil, and variable speed air circulation fan. Condensate discharge from the drip trays is released into a common condensate drainage system.",Adds the article 'an' and a comma in the list for grammatical correctness.,Grammar,"Each unit is complete with <span style='color:green;font-weight:bold'>an</span> air filter, direct expansion heating/cooling <span style='text-decoration:line-through;color:red'>coil</span> <span style='color:green;font-weight:bold'>coil,</span> and variable speed air circulation fan. Condensate discharge from the drip trays is released into a common condensate drainage system."
"Page 11, Survey Report (Section 3)",The FCUs units have been arranged in zones to provide heating or cooling as required by the room environment and controller setting.,The FCU units have been arranged in zones to provide heating or cooling as required by the room environment and controller setting.,Removes the redundant 's' from 'FCUs' as 'units' already indicates plurality. This is a minor correction for conciseness.,Clarity,The <span style='text-decoration:line-through;color:red'>FCUs</span> <span style='color:green;font-weight:bold'>FCU</span> units have been arranged in zones to provide heating or cooling as required by the room environment and controller setting.
"Page 11, Survey Report (Section 3)",Primary mechanical ventilation is provided by two packaged modular supply air handling units (AHU) located in the basement plant room and external roof mounted extract fans located in the external roof plant compound.,Primary mechanical ventilation is provided by two packaged modular supply air handling units (AHU) located in the basement plantroom and external roof-mounted extract fans located in the external roof plant compound.,Standardises 'plant room' to 'plantroom' for consistency and hyphenates the compound adjective 'roof-mounted'.,"Formatting, Grammar",Primary mechanical ventilation is provided by two packaged modular supply air handling units (AHU) located in the basement <span style='text-decoration:line-through;color:red'>plant</span> <span style='text-decoration:line-through;color:red'>room</span> <span style='color:green;font-weight:bold'>plantroom</span> and external <span style='text-decoration:line-through;color:red'>roof</span> <span style='text-decoration:line-through;color:red'>mounted</span> <span style='color:green;font-weight:bold'>roof-mounted</span> extract fans located in the external roof plant compound.
"Page 11, Survey Report (Section 3)","The AHUs comprise supply air handling units containing an intake inlet damper, air intake filter, LTHW heating coils and supply fan. The installation provides tempered filtered fresh air to each of the on floor VRV fan coil units.","The AHUs comprise supply air handling units containing an intake inlet damper, an air intake filter, LTHW heating coils, and a supply fan. The installation provides tempered, filtered fresh air to each of the on-floor VRV fan coil units.","Adds articles ('an', 'a') and commas for grammatical correctness in a list, and hyphenates 'on-floor' for improved readability.","Grammar, Professionalism & Presentation","The AHUs comprise supply air handling units containing an intake inlet damper, <span style='color:green;font-weight:bold'>an</span> air intake filter, LTHW heating <span style='text-decoration:line-through;color:red'>coils</span> <span style='color:green;font-weight:bold'>coils,</span> and <span style='color:green;font-weight:bold'>a</span> supply fan. The installation provides <span style='text-decoration:line-through;color:red'>tempered</span> <span style='color:green;font-weight:bold'>tempered,</span> filtered fresh air to each of the <span style='text-decoration:line-through;color:red'>on</span> <span style='text-decoration:line-through;color:red'>floor</span> <span style='color:green;font-weight:bold'>on-floor</span> VRV fan coil units."
"Page 12, Survey Report (Section 3)","Vitiated air is extracted from the WCs through dedicated exhaust systems. Air is extracted from each toilet and ducted to the roof mounted duplicate extract fan sets, where air is discharged to atmosphere.","Vitiated air is extracted from the WCs through dedicated exhaust systems. Air is extracted from each toilet and ducted to the roof-mounted duplicate extract fan sets, where it is discharged to atmosphere.",Hyphenates 'roof-mounted' for consistency and adds 'it is' for better sentence flow.,Grammar,"Vitiated air is extracted from the WCs through dedicated exhaust systems. Air is extracted from each toilet and ducted to the <span style='text-decoration:line-through;color:red'>roof</span> <span style='text-decoration:line-through;color:red'>mounted</span> <span style='color:green;font-weight:bold'>roof-mounted</span> duplicate extract fan sets, where <span style='text-decoration:line-through;color:red'>air</span> <span style='color:green;font-weight:bold'>it</span> is discharged to atmosphere."
"Page 12, Survey Report (Section 3)","Although the ventilation services are operable, comprehensive life cycle refurbishment and replacement works will be required in the short to medium term. Physical access to maintain the roof mounted extract fan units is poor and access around the units is restricted.","Although the ventilation services are operable, comprehensive life-cycle refurbishment and replacement works will be required in the short to medium term. Physical access to maintain the roof-mounted extract fan units is poor and access around the units is restricted.",Hyphenates compound adjectives 'life-cycle' and 'roof-mounted' for grammatical correctness.,Grammar,"Although the ventilation services are operable, comprehensive <span style='text-decoration:line-through;color:red'>life</span> <span style='text-decoration:line-through;color:red'>cycle</span> <span style='color:green;font-weight:bold'>life-cycle</span> refurbishment and replacement works will be required in the short to medium term. Physical access to maintain the <span style='text-decoration:line-through;color:red'>roof</span> <span style='text-decoration:line-through;color:red'>mounted</span> <span style='color:green;font-weight:bold'>roof-mounted</span> extract fan units is poor and access around the units is restricted."
"Page 12, Survey Report (Section 3)",An allowance has been made to improve access to and around the units and replace the mechanical ventilation systems in the short to medium term.,"Allowances have been included in the Capital Works Budget Cost Table (Items 2 & 3, Page 9) to improve access to and around the units and replace the mechanical ventilation systems.","Replaces vague language with a specific, actionable cross-reference to the budget table, adding value for the client.",Clarity,"<span style='text-decoration:line-through;color:red'>An</span> <span style='text-decoration:line-through;color:red'>allowance</span> <span style='text-decoration:line-through;color:red'>has</span> <span style='color:green;font-weight:bold'>Allowances</span> <span style='color:green;font-weight:bold'>have</span> been <span style='text-decoration:line-through;color:red'>made</span> <span style='color:green;font-weight:bold'>included</span> <span style='color:green;font-weight:bold'>in</span> <span style='color:green;font-weight:bold'>the</span> <span style='color:green;font-weight:bold'>Capital</span> <span style='color:green;font-weight:bold'>Works</span> <span style='color:green;font-weight:bold'>Budget</span> <span style='color:green;font-weight:bold'>Cost</span> <span style='color:green;font-weight:bold'>Table</span> <span style='color:green;font-weight:bold'>(Items</span> <span style='color:green;font-weight:bold'>2</span> <span style='color:green;font-weight:bold'>&</span> <span style='color:green;font-weight:bold'>3,</span> <span style='color:green;font-weight:bold'>Page</span> <span style='color:green;font-weight:bold'>9)</span> to improve access to and around the units and replace the mechanical ventilation <span style='text-decoration:line-through;color:red'>systems</span> <span style='text-decoration:line-through;color:red'>in</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>short</span> <span style='text-decoration:line-through;color:red'>to</span> <span style='text-decoration:line-through;color:red'>medium</span> <span style='text-decoration:line-through;color:red'>term.</span> <span style='color:green;font-weight:bold'>systems.</span>"
"Page 12, Survey Report (Section 3)","A Daikin central control building management system (BMS) monitors and controls the major functions of the VRV and ventilation services in the building. This monitors temperature and air quality, controls and schedules the operation of the various mechanical systems.","A Daikin central control Building Management System (BMS) monitors and controls the major functions of the VRV and ventilation services, including temperature, air quality, and the operational scheduling of the various mechanical systems.","Streamlines repetitive phrasing for better flow and conciseness, and capitalises 'Building Management System' for consistency.","Clarity, Professionalism & Presentation","A Daikin central control <span style='text-decoration:line-through;color:red'>building</span> <span style='text-decoration:line-through;color:red'>management</span> <span style='text-decoration:line-through;color:red'>system</span> <span style='color:green;font-weight:bold'>Building</span> <span style='color:green;font-weight:bold'>Management</span> <span style='color:green;font-weight:bold'>System</span> (BMS) monitors and controls the major functions of the VRV and ventilation <span style='text-decoration:line-through;color:red'>services</span> <span style='text-decoration:line-through;color:red'>in</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>building.</span> <span style='text-decoration:line-through;color:red'>This</span> <span style='text-decoration:line-through;color:red'>monitors</span> <span style='text-decoration:line-through;color:red'>temperature</span> <span style='text-decoration:line-through;color:red'>and</span> <span style='color:green;font-weight:bold'>services,</span> <span style='color:green;font-weight:bold'>including</span> <span style='color:green;font-weight:bold'>temperature,</span> air quality, <span style='text-decoration:line-through;color:red'>controls</span> and <span style='text-decoration:line-through;color:red'>schedules</span> the <span style='text-decoration:line-through;color:red'>operation</span> <span style='color:green;font-weight:bold'>operational</span> <span style='color:green;font-weight:bold'>scheduling</span> of the various mechanical systems."
"Page 12, Survey Report (Section 3)","The mechanical control panel (MCP) for the primary items of mechanical plant is located in the basement plant rooms. The control panel incorporates all selector switches, run, trip and warning lamps on the panel fascia and houses equipment starters, relays etc.","The mechanical control panel (MCP) for the primary items of mechanical plant is located in the basement plantrooms. The control panel incorporates all selector switches, run, trip and warning lamps on the panel fascia and houses equipment starters, relays, etc.",Standardises 'plant rooms' to 'plantrooms' for consistency and adds a comma before 'etc.' for correct punctuation in a list.,"Formatting, Grammar","The mechanical control panel (MCP) for the primary items of mechanical plant is located in the basement <span style='text-decoration:line-through;color:red'>plant</span> <span style='text-decoration:line-through;color:red'>rooms.</span> <span style='color:green;font-weight:bold'>plantrooms.</span> The control panel incorporates all selector switches, run, trip and warning lamps on the panel fascia and houses equipment starters, <span style='text-decoration:line-through;color:red'>relays</span> <span style='color:green;font-weight:bold'>relays,</span> etc."
"Page 12, Survey Report (Section 3)",The secondary mechanical and electrical controls plant remains a hybrid of new 2023 refurbished and original 2005 installation.,The secondary mechanical and electrical controls plant remains a hybrid of new 2023 refurbished and original 2020 installations.,Corrects the original installation date from 2005 to 2020 and uses the plural 'installations' to accurately reflect the hybrid nature of the plant.,"Technical Accuracy, Grammar",The secondary mechanical and electrical controls plant remains a hybrid of new 2023 refurbished and original <span style='text-decoration:line-through;color:red'>2005</span> <span style='text-decoration:line-through;color:red'>installation.</span> <span style='color:green;font-weight:bold'>2020</span> <span style='color:green;font-weight:bold'>installations.</span>
"Page 13, Survey Report (Section 3)","A utility gas main enters the basement gas meter room from Cromwell Road. The gas is distributed to the basement boiler plantroom and ground floor kitchen. A gas solenoid valve is fitted to the pipework within the boiler plant room and ground floor kitchen upstream of the meter. This operates to shut down the supply to the unit in the event of an emergency. The solenoid valve is operated by either a heat detector above each boiler, water heater and emergency knock off buttons within the plant rooms and kitchen or by activation of the building fire alarm.","A utility gas main enters the basement gas meter room from Cromwell Road. The gas is distributed to the basement boiler plantroom and ground floor kitchen. A gas solenoid valve is fitted to the pipework within the boiler plantroom and ground floor kitchen upstream of the meter. This operates to shut down the supply in an emergency. The valve is operated by a heat detector above each boiler, water heater, and emergency knock-off buttons within the plantrooms and kitchen, or by activation of the building fire alarm.","Standardises 'plant room(s)' to 'plantroom(s)' for consistency, hyphenates 'knock-off' as a compound noun, and improves sentence flow.","Formatting, Grammar","A utility gas main enters the basement gas meter room from Cromwell Road. The gas is distributed to the basement boiler plantroom and ground floor kitchen. A gas solenoid valve is fitted to the pipework within the boiler <span style='text-decoration:line-through;color:red'>plant</span> <span style='text-decoration:line-through;color:red'>room</span> <span style='color:green;font-weight:bold'>plantroom</span> and ground floor kitchen upstream of the meter. This operates to shut down the supply <span style='text-decoration:line-through;color:red'>to</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>unit</span> in <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>event</span> <span style='text-decoration:line-through;color:red'>of</span> an emergency. The <span style='text-decoration:line-through;color:red'>solenoid</span> valve is operated by <span style='text-decoration:line-through;color:red'>either</span> a heat detector above each boiler, water <span style='text-decoration:line-through;color:red'>heater</span> <span style='color:green;font-weight:bold'>heater,</span> and emergency <span style='text-decoration:line-through;color:red'>knock</span> <span style='text-decoration:line-through;color:red'>off</span> <span style='color:green;font-weight:bold'>knock-off</span> buttons within the <span style='text-decoration:line-through;color:red'>plant</span> <span style='text-decoration:line-through;color:red'>rooms</span> <span style='color:green;font-weight:bold'>plantrooms</span> and <span style='text-decoration:line-through;color:red'>kitchen</span> <span style='color:green;font-weight:bold'>kitchen,</span> or by activation of the building fire alarm."
"Page 13, Survey Report (Section 3)",The incoming electrical supply is derived from the local high voltage Distribution Network Operator (DNO) substation. A 400-Volt Three Phase and Neutral (TP&N) electrical supply enters the electrical Low Voltage (LV) switch room located in the basement electrical switch room.,"The incoming electrical supply is derived from the local high-voltage Distribution Network Operator (DNO) substation. A 400-Volt, Three-Phase and Neutral (TP&N) electrical supply enters the Low Voltage (LV) switchroom located in the basement.","Hyphenates compound adjectives ('high-voltage', 'Three-Phase') for correctness, adds a comma for clarity, and standardises 'switch room' to 'switchroom' for consistency.","Grammar, Formatting","The incoming electrical supply is derived from the local <span style='text-decoration:line-through;color:red'>high</span> <span style='text-decoration:line-through;color:red'>voltage</span> <span style='color:green;font-weight:bold'>high-voltage</span> Distribution Network Operator (DNO) substation. A <span style='text-decoration:line-through;color:red'>400-Volt</span> <span style='text-decoration:line-through;color:red'>Three</span> <span style='text-decoration:line-through;color:red'>Phase</span> <span style='color:green;font-weight:bold'>400-Volt,</span> <span style='color:green;font-weight:bold'>Three-Phase</span> and Neutral (TP&N) electrical supply enters the <span style='text-decoration:line-through;color:red'>electrical</span> Low Voltage (LV) <span style='text-decoration:line-through;color:red'>switch</span> <span style='text-decoration:line-through;color:red'>room</span> <span style='color:green;font-weight:bold'>switchroom</span> located in the <span style='text-decoration:line-through;color:red'>basement</span> <span style='text-decoration:line-through;color:red'>electrical</span> <span style='text-decoration:line-through;color:red'>switch</span> <span style='text-decoration:line-through;color:red'>room.</span> <span style='color:green;font-weight:bold'>basement.</span>"
"Page 13, Survey Report (Section 3)",The incoming electrical capacity is rated at 800 Amps. A secondary 100-amp alternative supply,The incoming electrical capacity is rated at 800 Amps. A secondary 100-amp alternative supply is also present.,Completes an unfinished sentence for grammatical correctness and clarity.,Grammar,The incoming electrical capacity is rated at 800 Amps. A secondary 100-amp alternative supply <span style='color:green;font-weight:bold'>is</span> <span style='color:green;font-weight:bold'>also</span> <span style='color:green;font-weight:bold'>present.</span>
"Page 13, Survey Report (Section 3)",A rising bus-bar system is distributed through the electrical/IT risers located throughout the floor plate with tap off points serving the distribution boards (DB).,A rising busbar system is distributed through the electrical/IT risers with tap-off points serving the distribution boards (DB) on each floor.,Corrects 'bus-bar' to the standard single word 'busbar' and hyphenates 'tap-off points' as a compound noun.,Grammar,A rising <span style='text-decoration:line-through;color:red'>bus-bar</span> <span style='color:green;font-weight:bold'>busbar</span> system is distributed through the electrical/IT risers <span style='text-decoration:line-through;color:red'>located</span> <span style='text-decoration:line-through;color:red'>throughout</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>floor</span> <span style='text-decoration:line-through;color:red'>plate</span> with <span style='text-decoration:line-through;color:red'>tap</span> <span style='text-decoration:line-through;color:red'>off</span> <span style='color:green;font-weight:bold'>tap-off</span> points serving the distribution boards <span style='text-decoration:line-through;color:red'>(DB).</span> <span style='color:green;font-weight:bold'>(DB)</span> <span style='color:green;font-weight:bold'>on</span> <span style='color:green;font-weight:bold'>each</span> <span style='color:green;font-weight:bold'>floor.</span>
"Page 13, Survey Report (Section 3)","The outgoing circuits are cabled in multicore XPLE/SWA/LSF copper conductor armoured cables clipped directly to the building fabric or contained within trunking systems. These are distributed to supply the localised distribution boards. The distribution system extends to a series of three/single phase distribution boards for lighting and small power, each complete with integral isolator and miniature circuit breakers. Additional sub-main supplies lighting and small power, plant rooms and fixed equipment such as the lifts and fire detection.","The outgoing circuits use multi-core XLPE/SWA/LSF armoured copper cables, clipped directly to the building fabric or contained within trunking systems, to supply local distribution boards. The system extends to a series of three-phase and single-phase distribution boards for lighting and small power, each with an integral isolator and miniature circuit breakers. Additional sub-mains supply lighting, small power, plantrooms, and fixed equipment such as lifts and fire detection.","Corrects the common typo 'XPLE' to the technically accurate 'XLPE'. Also hyphenates compound adjectives, clarifies 'three/single phase', standardises 'plant rooms' to 'plantrooms', and improves overall sentence structure for clarity.","Technical Accuracy, Grammar, Formatting","The outgoing circuits <span style='text-decoration:line-through;color:red'>are</span> <span style='text-decoration:line-through;color:red'>cabled</span> <span style='text-decoration:line-through;color:red'>in</span> <span style='text-decoration:line-through;color:red'>multicore</span> <span style='text-decoration:line-through;color:red'>XPLE/SWA/LSF</span> <span style='color:green;font-weight:bold'>use</span> <span style='color:green;font-weight:bold'>multi-core</span> <span style='color:green;font-weight:bold'>XLPE/SWA/LSF</span> <span style='color:green;font-weight:bold'>armoured</span> copper <span style='text-decoration:line-through;color:red'>conductor</span> <span style='text-decoration:line-through;color:red'>armoured</span> <span style='text-decoration:line-through;color:red'>cables</span> <span style='color:green;font-weight:bold'>cables,</span> clipped directly to the building fabric or contained within trunking <span style='text-decoration:line-through;color:red'>systems.</span> <span style='text-decoration:line-through;color:red'>These</span> <span style='text-decoration:line-through;color:red'>are</span> <span style='text-decoration:line-through;color:red'>distributed</span> <span style='color:green;font-weight:bold'>systems,</span> to supply <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>localised</span> <span style='color:green;font-weight:bold'>local</span> distribution boards. The <span style='text-decoration:line-through;color:red'>distribution</span> system extends to a series of <span style='text-decoration:line-through;color:red'>three/single</span> <span style='text-decoration:line-through;color:red'>phase</span> <span style='color:green;font-weight:bold'>three-phase</span> <span style='color:green;font-weight:bold'>and</span> <span style='color:green;font-weight:bold'>single-phase</span> distribution boards for lighting and small power, each <span style='text-decoration:line-through;color:red'>complete</span> with <span style='color:green;font-weight:bold'>an</span> integral isolator and miniature circuit breakers. Additional <span style='text-decoration:line-through;color:red'>sub-main</span> <span style='text-decoration:line-through;color:red'>supplies</span> <span style='text-decoration:line-through;color:red'>lighting</span> <span style='text-decoration:line-through;color:red'>and</span> <span style='color:green;font-weight:bold'>sub-mains</span> <span style='color:green;font-weight:bold'>supply</span> <span style='color:green;font-weight:bold'>lighting,</span> small power, <span style='text-decoration:line-through;color:red'>plant</span> <span style='text-decoration:line-through;color:red'>rooms</span> <span style='color:green;font-weight:bold'>plantrooms,</span> and fixed equipment such as <span style='text-decoration:line-through;color:red'>the</span> lifts and fire detection."
"Page 13, Survey Report (Section 3)",The apartments were not accessed during the survey.,The apartments were not accessed during the survey (refer to Section 4 - Limitations).,Adds a cross-reference to the Limitations section to ensure consistency and reinforce the scope of the survey for the reader.,Internal Consistency,The apartments were not accessed during the <span style='text-decoration:line-through;color:red'>survey.</span> <span style='color:green;font-weight:bold'>survey</span> <span style='color:green;font-weight:bold'>(refer</span> <span style='color:green;font-weight:bold'>to</span> <span style='color:green;font-weight:bold'>Section</span> <span style='color:green;font-weight:bold'>4</span> <span style='color:green;font-weight:bold'>-</span> <span style='color:green;font-weight:bold'>Limitations).</span>
"Page 14, Survey Report (Section 3)",Standby & Back-up Power systems,Standby & Back-up Power Systems,Capitalises 'Systems' for consistent heading style.,Formatting,Standby & Back-up Power <span style='text-decoration:line-through;color:red'>systems</span> <span style='color:green;font-weight:bold'>Systems</span>
"Page 14, Survey Report (Section 3)",A secondary 100-amp alternative power supply is provided for emergency backup of essential life safety systems. These are fitted with auto changeover panels in the event of the primary power supply failing.,A secondary 100-amp alternative power supply is provided for emergency back-up of essential life safety systems. These are fitted with auto-changeover panels in the event of a primary power supply failure.,Hyphenates 'back-up' and 'auto-changeover' as compound nouns/adjectives for grammatical correctness.,Grammar,A secondary 100-amp alternative power supply is provided for emergency <span style='text-decoration:line-through;color:red'>backup</span> <span style='color:green;font-weight:bold'>back-up</span> of essential life safety systems. These are fitted with <span style='text-decoration:line-through;color:red'>auto</span> <span style='text-decoration:line-through;color:red'>changeover</span> <span style='color:green;font-weight:bold'>auto-changeover</span> panels in the event of <span style='text-decoration:line-through;color:red'>the</span> <span style='color:green;font-weight:bold'>a</span> primary power supply <span style='text-decoration:line-through;color:red'>failing.</span> <span style='color:green;font-weight:bold'>failure.</span>
