section_name,original_text,proposed_revision,justification,edit_type
"Page 10, Survey Report (Section 3)","Door access is presented to the all common are doors Main entrances and exit routes as well as from lift lobbies to the office areas, doors are presented with Fob readers and door magnets and request to exit push buttons.","Door access control is provided for all common area doors, including main entrances, exit routes, and from lift lobbies to office areas. These doors are equipped with fob readers, door magnets, and request-to-exit push buttons.","This synthesised revision corrects significant grammatical and typographical errors from the original. It improves clarity by using precise terms ('access control', 'equipped with'), restructuring the sentence for readability, and applying correct punctuation and hyphenation ('request-to-exit').","Clarity, Grammar, Professionalism & Presentation"
"Page 10, Survey Report (Section 3)",CCTV is provided both internally and externally for the tenants use we are unaware of the storage protocols.,"CCTV is provided both internally and externally for the tenants' use; however, we are unaware of the data storage protocols.","This synthesised change improves grammar by correcting 'tenants use' to the possessive 'tenants'' and separating the run-on sentence with a semicolon and 'however'. It adds 'data' for technical specificity, improving overall clarity and professionalism.","Clarity, Grammar, Professionalism & Presentation"
"Page 10, Survey Report (Section 3)",A building wide Fire alarm panel and system is provided located within the data room adjacent to reception. with a repeater panel within the entrance lobby. the system is a Taktis analogue addressable no faults were shown on the building system.,"A building-wide fire alarm panel and system are located within the data room adjacent to reception, with a repeater panel in the entrance lobby. The system is a Taktis analogue addressable unit, and no faults were indicated at the time of survey.","This synthesised revision combines multiple fixes: hyphenates 'building-wide', corrects subject-verb agreement ('panel and system are'), improves sentence structure and punctuation, and uses the more formal 'indicated' instead of 'shown'. This results in a clearer and more professional statement.","Grammar, Professionalism & Presentation, Formatting"
"Page 10, Survey Report (Section 3)",the building wide system includes Manual call points (break glass units) with combination smoke detector sounders.,The building-wide system includes manual call points (break glass units) with combination smoke detector sounders.,Capitalised 'The' to start the sentence. Corrected 'building wide' to 'building-wide'. Lowercased 'Manual call points' for consistent capitalisation.,"Professionalism & Presentation, Formatting"
"Page 10, Survey Report (Section 3)","The Ground floor communications room has a redundant and decommissioned Gas suppression panel, we have been advised that the bottles associated have been removed,",The ground floor communications room has a redundant and decommissioned gas suppression panel; we have been advised that the associated bottles have been removed.,"This synthesised revision improves professionalism and clarity by correcting capitalisation ('ground floor', 'gas suppression'), using a semicolon to correctly join the two related clauses, and rephrasing 'bottles associated' to the more natural 'associated bottles'.","Grammar, Professionalism & Presentation, Formatting, Clarity"
"Page 11, Survey Report (Section 3)",Fire Extinguishers are presented throughout No service and maintenance documentation seen,"Fire extinguishers are present throughout the property; however, no service and maintenance documentation was available for review.","This synthesised change corrects the original sentence fragment, making it a complete and grammatically correct statement. It improves professionalism by using 'present' instead of 'presented' and changing the passive 'seen' to the more formal 'available for review'.","Grammar, Professionalism & Presentation, Formatting"
"Page 11, Survey Report (Section 3)",A dry riser system is presented externally with hose connections presented within the lift lobbies on all floors No documentation seen in relation to servicing and testing.,"A dry riser system is present externally, with hose connections located within the lift lobbies on all floors. No documentation was available for review in relation to its servicing and testing.","This synthesised revision corrects the sentence fragment and improves professionalism by using more precise terminology ('present', 'located') and replacing 'seen' with the formal 'available for review'. This makes the observation clearer and more professional.","Grammar, Professionalism & Presentation"
"Page 11, Survey Report (Section 3)","Ground Floor server room is provided with a VESDA smoke detection system, the sniffer pipes were seen to have been removed and or damaged during recent fit out works. No documentation seen in relation to servicing and testing.","The ground floor server room is equipped with a VESDA smoke detection system; however, its sniffer pipes were observed to have been removed and/or damaged during recent fit-out works. No documentation was available for review regarding its servicing and testing.","This synthesised revision improves readability by restructuring the sentences and using a semicolon. It enhances professionalism by using 'observed' instead of 'seen', 'available for review' instead of 'seen', and applying correct hyphenation ('fit-out') and formatting ('and/or').","Grammar, Professionalism & Presentation, Formatting, Clarity"
"Page 11, Survey Report (Section 3)",Hot and Cold water service originate from a bulk storage tank on the plant deck. the installed Ryco calorifier dated 1980 within the boiler room is now redundant.,Hot and cold water services originate from a bulk storage tank on the plant deck. The installed Ryco calorifier (dated 1980) within the boiler room is now redundant.,This synthesised revision corrects the technical term 'service' to the plural 'services' and improves grammar and readability by capitalising the start of the second sentence and using parentheses for the date information.,"Technical Accuracy, Professionalism & Presentation, Grammar"
"Page 11, Survey Report (Section 3)",Hot water services are now from point of use storage water heaters,Hot water services are now supplied by point-of-use storage water heaters.,Changed 'from' to 'supplied by' for clarity. Corrected 'point of use' to 'point-of-use' (hyphenated).,Professionalism & Presentation
"Page 11, Survey Report (Section 3)",The office floor WC arrangement is back to back from a shared service shaft incorporating the Wc cysters cleaners sink and point of use cistern type water heater.,"The office floor WC facilities are arranged back-to-back from a shared service shaft, incorporating WC cisterns, a cleaner's sink, and point-of-use cistern-type water heaters.","This synthesised revision corrects multiple errors: it hyphenates 'back-to-back' and 'point-of-use', fixes the spelling of 'cisterns', clarifies 'cleaner's sink' with a possessive apostrophe, and adds commas to the list for clarity, significantly improving professionalism and readability.","Grammar, Technical Accuracy, Clarity, Professionalism & Presentation"
"Page 11, Survey Report (Section 3)",The gents typically consists of 3 wash hand basins with monobloc taps 3 urinals an 3 water closets The ladies typically consists of 4 wash hand basins with monobloc taps and 4 water closets,"The gents' facilities typically consist of three wash hand basins with monobloc taps, three urinals, and three water closets. The ladies' facilities typically consist of four wash hand basins with monobloc taps and four water closets.","Corrected possessive apostrophes for 'gents'' and 'ladies'', fixed subject-verb agreement ('consist'), wrote out numbers for formality, corrected 'an' to 'and', and added commas to the lists for clarity. This makes the text grammatically correct and professional.","Professionalism & Presentation, Grammar"
"Page 11, Survey Report (Section 3)",Surface water drains and gullies were seen to be in need of a clean.,Surface water drains and gullies were observed to be in need of cleaning.,Changed 'seen to be' to 'observed to be' for a more formal tone. Changed 'in need of a clean' to 'in need of cleaning' for better phrasing.,Professionalism & Presentation
"Page 12, Survey Report (Section 3)","Unknown Car Park access plates! Having visited site. from what i have encountered in the past is it possible that the Lift lobbies on all levels were presented with Hose reels adjacent to the Dry Riser hose connections? is so ! i have thought that a hose reel tank would be presented, from the details provide prior to survey viewing into the tanks a 2 set ladder goes in with a door and a platform could this have been a Hose reel booster set?","Unidentified access plates were observed in the car park. Based on previous experience and a site visit, we noted the possibility that lift lobbies were previously equipped with hose reels adjacent to the dry riser connections. If this were the case, a dedicated hose reel tank and booster set would likely be present. The pre-survey information, describing tank access via a ladder and platform, may support this possibility.","This synthesised revision completely rephrases the original text to be professional, objective, and clear. It removes informal language, exclamation marks, and grammatical errors, transforming a speculative internal note into a clear, professional observation for the client report, while maintaining the technical query.","Clarity, Professionalism & Presentation, Grammar, Technical Accuracy"
"Page 12, Survey Report (Section 3)",The lifts when called presented level and the ride was smooth The Lift motor room and lift controls were clean tidy and well presented.,"The lifts operated smoothly, levelling accurately when called. The lift motor room and lift controls were observed to be clean, tidy, and well-presented.","This synthesised revision improves professional phrasing for lift operation ('operated smoothly, levelling accurately') and uses a consistent adjective list ('clean, tidy, and well-presented'). It correctly capitalises generic terms and separates the run-on sentence for better readability.","Professionalism & Presentation, Grammar, Clarity"
"Page 12, Survey Report (Section 3)",The lift motor room benefits from have AC cooling cassettes.,The lift motor room benefits from having AC cooling cassettes.,Corrected the grammatical error 'from have' to 'from having'.,Grammar
"Page 13, Survey Report (Section 3)",We have not been supplied with an EPC for the Property (it is the Landlord's legal duty to provide an EPC for the sale or letting of the Property) and this should be provided to us so that we may comment.,"We have not been supplied with an EPC for the property (it is the landlord's legal duty to provide an EPC for the sale or letting of the property), and this should be provided to us for comment.","This synthesised revision improves professionalism by correcting inconsistent capitalisation ('property', 'landlord') and simplifying the phrasing 'so that we may comment' to the more concise 'for comment'.","Professionalism & Presentation, Formatting, Grammar"
"Page 13, Survey Report (Section 3)",There is a risk that the value of the EPC is or would be an For a G and under this scenario the Property would fall within the limits set under the Non-Domestic Private Minimum Standard set under the Energy Efficiency (Private Rented Property) (England and Wales) Regulations 2015.,"There is a risk that the EPC rating is, or would be, an F or a G. Under such a scenario, the property would not meet the Minimum Energy Efficiency Standards (MEES) as set out in the Energy Efficiency (Private Rented Property) (England and Wales) Regulations 2015.",Corrects the significant typo 'an For a G' to 'an F or a G'. Improves clarity and technical accuracy by using the standard term 'Minimum Energy Efficiency Standards (MEES)' and rephrasing for better flow and professionalism.,"Technical Accuracy, Professionalism & Presentation, Clarity"
"Page 13, Survey Report (Section 3)",The last EPC on the government web site indicates that it Expired on 8th February 20219 with a rating of D 89 at the time of survey.,The last EPC on the government website indicates that it expired on 8 February 2019 with a rating of D89.,"This synthesised revision corrects multiple errors for professionalism and accuracy: 'web site' to 'website', 'Expired' to 'expired', and the date typo '20219' to '2019'. It also removes the unnecessary space in 'D 89' and simplifies the date format.","Professionalism & Presentation, Technical Accuracy, Formatting"
"Page 13, Survey Report (Section 3)","If a property has an energy rating of F or G, the Landlord cannot grant a Tenancy to new or existing Tenants, unless an exemption has been registered. From 1st April 2023, landlords will not be allowed to continue letting a non-domestic property on an existing lease if that property has an energy rating of F or G.","If a property has an energy rating of F or G, the landlord cannot grant a tenancy to new or existing tenants unless an exemption has been registered. From 1 April 2023, landlords are not permitted to continue letting a non-domestic property on an existing lease if that property has an energy rating of F or G.","This synthesised revision ensures professionalism by correcting the inconsistent capitalisation of 'Landlord', 'Tenancy', and 'Tenants' to lowercase. It also standardises the date format for consistency.","Professionalism & Presentation, Formatting"
"Page 13, Survey Report (Section 3)",There is no guarantee that the EPC will remain at the current level when it does need to be updated and if you have any concerns we recommend that you commission an updated EPC (with no commitment to lodge) and if necessary an EPC Plus Report which will set out the works needed to improve the EPC to a particular/acceptable value. The report will include indicative budget costings to complete the suggested energy efficiency improvement measures as outlined.,"There is no guarantee that the EPC will remain at its current level when it needs to be updated. If you have any concerns, we recommend commissioning an updated EPC (with no commitment to lodge) and, if necessary, an EPC Plus Report. This will set out the works and indicative budget costs required to improve the EPC to a particular/acceptable value.","Removes redundant wording ('does need'), improves sentence structure for clarity, and changes 'costings' to the more standard 'costs'. This results in a more concise and professional recommendation.","Grammar, Clarity"
"Page 14, Survey Report (Section 3)","Legionella Risk Assessment and Records of Legionella Risk Management implementation to cover stored water, showers and evaporative coolers, plus general water hygiene","Legionella Risk Assessment and records of Legionella Risk Management implementation, covering stored water, showers, and evaporative coolers, as well as general water hygiene.","Improves sentence flow by changing 'to cover' to 'covering', uses the more formal 'as well as' instead of 'plus', and adds a serial comma to the list for clarity.","Grammar, Clarity"
"Page 14, Survey Report (Section 3)","Operation and Maintenance Manuals (O&Ms) including sections dealing with equipment isolation, emergency procedures, installation record drawings, commissioning, and, completion certificates","Operation and Maintenance Manuals (O&Ms), including sections dealing with equipment isolation, emergency procedures, installation record drawings, commissioning, and completion certificates.",Removes the unnecessary comma before 'completion certificates' to correct the punctuation in the list.,Grammar
"Page 15, Limitations (Section 4)",Health and safety issues noted during the survey are commented on within this Report but are not intended or implied to relieve those responsible from their duties and obligations in respect of current Health & Safety Legislation.,Health and safety issues noted during the survey are commented on within this report but are not intended or implied to relieve those responsible from their duties and obligations in respect of current health and safety legislation.,"This synthesised change ensures consistency by using lowercase for 'report' and 'health and safety legislation' as they are general nouns, not proper titles. It also replaces the ampersand with 'and' for more formal writing.","Professionalism & Presentation, Formatting"
"Page 15, Limitations (Section 4)","The internal condition of the Mechanical, Electrical, Public Health (MEPH) and Vertical Transportation (VT) services such as water storage tanks, air-handling units, terminal units and control panels, drainage or water distribution pipework systems for example, could not be judged or commented on from this level of visual inspection. Additionally, MEPH & VT installations concealed within the fabric of the property, conduits or otherwise inaccessible during the survey could not be judged or commented on.","The internal condition of the Mechanical, Electrical, Public Health (MEPH) and Vertical Transportation (VT) services (e.g., water storage tanks, air handling units, terminal units, control panels, drainage, or water distribution pipework systems) could not be judged from this visual inspection. Additionally, MEPH and VT installations concealed within the building fabric, conduits, or otherwise inaccessible during the survey could not be inspected or commented on.",This synthesised revision improves readability by simplifying sentence structure and using 'e.g.' for the examples. It replaces ampersands with 'and' for formal consistency and improves punctuation throughout the paragraph for better clarity.,"Clarity, Professionalism & Presentation, Formatting"
"Page 15, Limitations (Section 4)",This survey did not include any examination of deleterious materials within the Property and the findings summarised within this Report do not allow for the treatment of such materials to affect any recommendations.,"This survey did not include any examination of deleterious materials within the property, and the findings summarised within this report do not allow for the treatment of such materials to affect any recommendations.","This synthesised change ensures consistent, professional formatting by using lowercase for 'property' and 'report', and adds a comma to correctly punctuate the compound sentence.","Professionalism & Presentation, Formatting, Grammar"
"Page 15, Limitations (Section 4)",Costs provided within this Report are for budget purposes only and may vary under competitive tender conditions as well as requiring feasibility studies to be undertaken to explore the options available.,"Costs provided within this report are for budget purposes only and may vary under competitive tender conditions, as well as requiring feasibility studies to be undertaken to explore the options available.",Lowercased 'Report' for consistent capitalisation. Added a comma for improved sentence flow.,Professionalism & Presentation
"Page 15, Limitations (Section 4)",This Report is not to be used either in part or in whole for the purpose other than that for which it was originally intended and should not form the basis of any specification for refurbishment or replacement works.,This report is not to be used either in part or in whole for any purpose other than that for which it was originally intended and should not form the basis of any specification for refurbishment or replacement works.,Lowercased 'Report' for consistent capitalisation. Changed 'the purpose other than that' to 'any purpose other than that' for better clarity.,Professionalism & Presentation
"Page 15, Limitations (Section 4)",The survey of the Property and subsequent production of the Report has been undertaken in line with the associated fee proposal and the FHP ESS Terms & Conditions of trading.,The survey of the property and subsequent production of this report has been undertaken in line with the associated fee proposal and the FHP ESS Terms and Conditions of Trading.,"This synthesised change improves professionalism by making 'property' and 'report' lowercase for consistency, while replacing the ampersand in 'Terms & Conditions' with 'and' for formal documentation. 'Trading' is capitalised as it is part of a formal title.","Professionalism & Presentation, Formatting"
"Page 15, Limitations (Section 4)",Unless otherwise informed in writing we assume that we are preparing this Report for the recipient named on the front cover page of this Report. No other party can rely on this Report unless we are informed in writing of their identity and that we have agreed in writing to this. Our permission for such reliance may be subject to a charge but not be withheld unreasonably.,"Unless otherwise informed in writing, we assume that we are preparing this report for the recipient named on the front cover page. No other party may rely on this report unless we are informed in writing of their identity and we have agreed in writing to such reliance. Our permission may be subject to a charge but will not be withheld unreasonably.",This synthesised revision improves readability by adding a comma after the introductory clause and simplifies the text. It ensures professionalism by using lowercase 'report' consistently and improves the overall legal clarity and flow of the paragraph.,"Grammar, Professionalism & Presentation, Formatting"
"Page 29, Appendix",Techincal Management,Technical Management,Corrected the spelling of 'Technical' for professionalism.,Professionalism & Presentation
